trait	ancestry	source_consortium	citation_first_author_year	doi	n_total	n_cases	n_controls	phenotype_definition	build_grch	download_url	expected_filename	checksum_available	cohort_overlap_notes	mtag_overlap_correction_required	sample_source_cohort	dua_required	status
hypertension	AFR	MVP	Giri 2019	10.1038/s41588-018-0303-9	318891			SBP continuous (mmHg), medication-adjusted	37	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001672	MVP_BP_AFR_SBP_freeze1	unknown	D-06 fallback (AoU AFR-SBP derivation): Wave 0 Probe 2 (2026-04-25) found NO public sumstats on GWAS-Catalog at ebi.ac.uk/gwas/publications/30578418 (0 GCST accession hits in HTML body). Per CONTEXT D-07 + DEC-2026-04-24-02, Wave 1 marks status=DEFERRED. Carter initiates AoU Researcher Workbench AFR-SBP derivation reusing AOU-LD-PIPELINE.md §2 P1-P7. M1 closeout does NOT block on this row. MVP AFR participants; overlap with Aragam CAD-AFR (MVP overlap), DIAMANTE-AFR (MVP)	yes	MVP-AFR	yes	deferred_d06_fallback
stroke	TRANS	GIGASTROKE	Mishra 2022	10.1038/s41586-022-05165-3	1614080	110182	1503898	all-stroke (AS) case-control, combined ischemic + hemorrhagic	37	https://www.ebi.ac.uk/gwas/publications/36180795	GCST90104534_buildGRCh37.tsv.gz	yes	EUR (66.7%) + EAS (24.8%) + AA (3.7%) + SAS (3.3%); UKB + BBJ + FinnGen included; overlap with GIANT BMI (UKB), Evangelou BP (UKB), DIAMANTE (UKB+BBJ), MAGIC HbA1c (UKB+BBJ), Aragam CAD (UKB), GBMI asthma (UKB+BBJ+FinnGen), CKDGen (UKB), GLGC (UKB)	yes	UKB, BBJ, FinnGen, MGI, deCODE, many	no	to_download
stroke	EUR	GIGASTROKE	Mishra 2022	10.1038/s41586-022-05165-3	1296908	73652	1223256	all-stroke EUR-subset case-control	37	https://www.ebi.ac.uk/gwas/publications/36180795	GCST90104539_buildGRCh37.tsv.gz	yes	EUR-only subset of the GIGASTROKE meta; UKB + FinnGen + deCODE + MGI + many	yes	UKB, FinnGen, deCODE, MGI	no	to_download
stroke	AFR	GIGASTROKE	Mishra 2022	10.1038/s41586-022-05165-3	23991	3961	20030	all-stroke AA-subset case-control	37	https://www.ebi.ac.uk/gwas/publications/36180795	GCST90104549_buildGRCh37.tsv.gz	yes	African-American subset from PAGE, MVP-AFR, AAASPS, REGARDS; overlap with Aragam CAD-AFR (MVP), MAGIC-AFR (PAGE), GLGC-AFR (PAGE)	yes	PAGE-AFR, MVP-AFR, AAASPS, REGARDS	no	to_download
stroke	EAS	GIGASTROKE	Mishra 2022	10.1038/s41586-022-05165-3	400907	27413	373494	all-stroke EAS-subset case-control	37	https://www.ebi.ac.uk/gwas/publications/36180795	GCST90104544_buildGRCh37.tsv.gz	yes	BBJ + CKB + KoGES; overlap with DIAMANTE-EAS (BBJ), GBMI-EAS (BBJ)	yes	BBJ, CKB, KoGES	no	to_download
asthma	MULTI	GBMI	Zhou 2022	10.1016/j.xgen.2022.100210	1800785	153763	1647022	pooled adult+child asthma case-control (GBMI harmonized PheCode)	38	https://www.globalbiobankmeta.org/resources	Asthma_Bothsex_inv_var_meta_GBMI_052021.txt.gz	yes	18 biobanks including UKB, FinnGen, BBJ, MGI, Estonia, Lifelines, BioMe, AoU-dev; MASSIVE overlap with UKB-using sources and FinnGen-using sources	yes	UKB, FinnGen, BBJ, MGI, Estonia, many	no	to_download
asthma	EUR	GBMI	Zhou 2022	10.1016/j.xgen.2022.100210	995917	58559	937358	pooled adult+child asthma case-control EUR subset	38	https://www.globalbiobankmeta.org/resources	Asthma_Bothsex_inv_var_meta_GBMI_EUR_052021.txt.gz	yes	EUR-stratified from UKB, FinnGen, Estonia, MGI, Lifelines, GS, GNH-EUR	yes	UKB, FinnGen, MGI, Estonia	no	to_download
asthma	AFR	GBMI	Zhou 2022	10.1016/j.xgen.2022.100210	29682	1978	27704	pooled adult+child asthma case-control AFR subset	38	https://www.globalbiobankmeta.org/resources	Asthma_Bothsex_inv_var_meta_GBMI_AFR_052021.txt.gz	yes	AFR subset from UKB-AFR, BioMe-AFR, MGI-AFR; very small N, overlap with UKB-containing sources	yes	UKB-AFR, BioMe-AFR, MGI-AFR	no	to_download
CAD	TRANS	CARDIoGRAM-C4D-MVP	Aragam 2022	10.1038/s41588-022-01233-6	1165690	181522	984168	CAD case-control (broad MI + CAD composite)	37	https://personal.broadinstitute.org/ryank/Aragam_2022_CARDIoGRAM_CAD_GWAS.zip	GCST90132314_buildGRCh37.tsv.gz (within zip: CAD_GWAS_primary_discovery_meta.tsv)	yes	CARDIoGRAMplusC4D + UKB + MVP + BBJ; HEAVY overlap with GIANT BMI (UKB), Evangelou BP (UKB + partial MVP), DIAMANTE (UKB + MVP + BBJ), GIGASTROKE (UKB + BBJ), GLGC (UKB), Giri BP-AFR (MVP)	yes	UKB, MVP, CARDIoGRAM, BBJ	no	to_download
CAD	EUR	CARDIoGRAM-C4D-UKB	Aragam 2022	10.1038/s41588-022-01233-6	1001226	156336	844890	CAD case-control EUR subset	37	https://personal.broadinstitute.org/ryank/Aragam_2022_CARDIoGRAM_CAD_GWAS.zip	Aragam2022_EUR_subset.tsv	yes	EUR-stratified from CARDIoGRAMplusC4D_1KG + UKB + MVP-EUR; same cohort overlap as trans file	yes	UKB, CARDIoGRAM, MVP-EUR	no	to_download
CAD	AFR	MVP-CHARGE	Klarin 2018 (D-03 fallback)	10.1038/s41591-018-0090-y	8500			CAD case-control AFR subset (Klarin 2018 MVP-AFR fallback)	37	https://www.ebi.ac.uk/gwas/publications/29892015	Klarin2018_MVP-AFR-CAD_GCST005195.tsv.gz	unknown	D-03 branch (b): Aragam ZIP enumerated 2026-04-25 - 3 files (BBJ_meta, SEX_STRATIFIED, primary_discovery_meta); NO AFR-specific file; FALLBACK to Klarin 2018 MVP-AFR-CAD (10.1038/s41591-018-0090-y, N=8.5k AFR) per SUMSTATS-UPGRADE Q3. Small AFR component primarily from MVP-AFR; may not be released as standalone — verify on KP4CD; if absent, fall back to MVP-CHARGE-AFR 2018 (smaller N)	yes	MVP-AFR	no	to_download
CAD	EAS	BBJ	Aragam 2022	10.1038/s41588-022-01233-6	212453	29319	183134	CAD case-control EAS subset	37	https://personal.broadinstitute.org/ryank/Aragam_2022_CARDIoGRAM_CAD_GWAS.zip	Aragam2022_EAS_BBJ_subset.tsv	unknown	BBJ-only; overlap with DIAMANTE-EAS (BBJ), GIGASTROKE-EAS (BBJ), MAGIC-EAS (BBJ), GBMI-EAS (BBJ)	yes	BBJ	no	to_download
LDL	TRANS	GLGC	Graham 2021	10.1038/s41586-021-04064-3	1320016			LDL-C inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/trans_ancestry/	LDL_INV_ALL_with_N_1.gz	yes	Trans-ancestry meta; UKB + MVP + BBJ + HCHS/SOL + many; HEAVY overlap with GIANT BMI (UKB), Aragam CAD (UKB, MVP), Evangelou BP (UKB), DIAMANTE (UKB)	yes	UKB, MVP, BBJ, HCHS/SOL, many	no	to_download
LDL	EUR	GLGC	Graham 2021	10.1038/s41586-021-04064-3	931721			LDL-C inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	LDL_INV_EUR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz	yes	EUR-stratified; UKB + MVP-EUR + CARDIoGRAM; overlap with all UKB sources	yes	UKB, MVP-EUR, CARDIoGRAM	no	to_download
LDL	AFR	GLGC	Graham 2021	10.1038/s41586-021-04064-3	91016			LDL-C inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	LDL_INV_AFR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz	yes	AFR from PAGE (HCHS/SOL, WHI, MEC), MVP-AFR, AADM; overlap with Aragam-AFR (MVP), DIAMANTE-AFR (MVP), MAGIC-AFR (PAGE)	yes	PAGE-AFR, MVP-AFR, AADM	no	to_download
LDL	EAS	GLGC	Graham 2021	10.1038/s41586-021-04064-3	146492			LDL-C inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	LDL_INV_EAS_1KGP3_ALL.meta.singlevar.results.gz	yes	EAS from BBJ, KoGES, CKB; overlap with DIAMANTE-EAS (BBJ)	yes	BBJ, KoGES, CKB	no	to_download
LDL	SAS	GLGC	Graham 2021	10.1038/s41586-021-04064-3	34135			LDL-C inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	LDL_INV_SAS_HRC_1KGP3_others_ALL.meta.singlevar.results.gz	yes	SAS from LOLIPOP, PROMIS; minimal overlap	no	LOLIPOP, PROMIS	no	to_download
LDL	HIS	GLGC	Graham 2021	10.1038/s41586-021-04064-3	47276			LDL-C inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	LDL_INV_HIS_1KGP3_ALL.meta.singlevar.results.gz	yes	HIS from HCHS/SOL, MEC-HIS; overlap with MAGIC-HIS (HCHS/SOL), DIAMANTE-HIS (HCHS/SOL)	yes	HCHS/SOL, MEC-HIS	no	to_download
HDL	TRANS	GLGC	Graham 2021	10.1038/s41586-021-04064-3	1320016			HDL-C inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/trans_ancestry/	HDL_INV_ALL_with_N_1.gz	yes	Same cohort structure as LDL trans	yes	UKB, MVP, BBJ, HCHS/SOL, many	no	to_download
HDL	EUR	GLGC	Graham 2021	10.1038/s41586-021-04064-3	931721			HDL-C inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	HDL_INV_EUR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz	yes	Same as LDL-EUR	yes	UKB, MVP-EUR, CARDIoGRAM	no	to_download
HDL	AFR	GLGC	Graham 2021	10.1038/s41586-021-04064-3	91016			HDL-C inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	HDL_INV_AFR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz	yes	Same as LDL-AFR	yes	PAGE-AFR, MVP-AFR, AADM	no	to_download
TG	TRANS	GLGC	Graham 2021	10.1038/s41586-021-04064-3	1320016			log(TG) inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/trans_ancestry/	logTG_INV_ALL_with_N_1.gz	yes	Same cohort structure as LDL trans	yes	UKB, MVP, BBJ, HCHS/SOL, many	no	to_download
TG	EUR	GLGC	Graham 2021	10.1038/s41586-021-04064-3	931721			log(TG) inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	logTG_INV_EUR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz	yes	Same as LDL-EUR	yes	UKB, MVP-EUR, CARDIoGRAM	no	to_download
TG	AFR	GLGC	Graham 2021	10.1038/s41586-021-04064-3	91016			log(TG) inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	logTG_INV_AFR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz	yes	Same as LDL-AFR	yes	PAGE-AFR, MVP-AFR, AADM	no	to_download
TC	TRANS	GLGC	Graham 2021	10.1038/s41586-021-04064-3	1320016			TC inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/trans_ancestry/	TC_INV_ALL_with_N_1.gz	yes	Same cohort structure as LDL trans	yes	UKB, MVP, BBJ, HCHS/SOL, many	no	to_download
TC	EUR	GLGC	Graham 2021	10.1038/s41586-021-04064-3	931721			TC inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	TC_INV_EUR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz	yes	Same as LDL-EUR	yes	UKB, MVP-EUR, CARDIoGRAM	no	to_download
TC	AFR	GLGC	Graham 2021	10.1038/s41586-021-04064-3	91016			TC inverse-normal transformed	37	https://csg.sph.umich.edu/willer/public/glgc-lipids2021/results/ancestry_specific/	TC_INV_AFR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz	yes	Same as LDL-AFR	yes	PAGE-AFR, MVP-AFR, AADM	no	to_download
eGFR	TRANS	CKDGen	Wuttke 2019	10.1038/s41588-019-0407-x	765348			log(eGFR-creatinine) continuous	37	https://ckdgen.imbi.uni-freiburg.de/files/Wuttke2019/20171016_MW_eGFR_overall_ALL_nstud61.dbgap.txt.gz	20171016_MW_eGFR_overall_ALL_nstud61.dbgap.txt.gz	yes	Trans-ethnic meta-analysis (61 studies); UKB + MGI + many; overlap with GIANT BMI (UKB), Evangelou (UKB), Aragam (UKB), GIGASTROKE (UKB), GLGC (UKB), DIAMANTE (UKB)	yes	UKB, MGI, many CKDGen cohorts	no	to_download
eGFR	EUR	CKDGen	Wuttke 2019	10.1038/s41588-019-0407-x	567460			log(eGFR-creatinine) continuous	37	https://ckdgen.imbi.uni-freiburg.de/files/Wuttke2019/20171017_MW_eGFR_overall_EA_nstud42.dbgap.txt.gz	20171017_MW_eGFR_overall_EA_nstud42.dbgap.txt.gz	yes	European American subset (42 studies)	yes	UKB, MGI, CKDGen-EUR	no	to_download
eGFR	AFR	CKDGen	Morris 2019 / Wuttke 2019	10.1038/s41467-019-11704-w	15863			log(eGFR-creatinine) continuous	37	https://ckdgen.imbi.uni-freiburg.de/datasets/Morris_2019	eGFR_AFR_CKDGen_Morris2019.txt.gz	unknown	AFR-specific CKDGen companion paper (Morris 2019 Nat Commun); COGENT-Kidney AFR + MVP-AFR + ARIC-AFR + CARDIA-AFR; overlap with Aragam-AFR (MVP), DIAMANTE-AFR (MVP), Giri BP-AFR (MVP)	yes	COGENT-AFR, MVP-AFR, ARIC-AFR	no	to_download
HbA1c	TRANS	MAGIC	Chen 2021	10.1038/s41588-021-00852-9	281416			HbA1c continuous (mmol/mol), adjusted for age sex study covariates	37	https://magicinvestigators.org/downloads/	MAGIC1000G_HbA1c_TA.tsv.gz	yes	Trans-ancestry 82 cohorts; UKB + BBJ + HCHS/SOL + CKB + LOLIPOP + many; HEAVY overlap with GIANT BMI (UKB), GLGC (UKB), Evangelou BP (UKB), Aragam (UKB+partial), DIAMANTE (UKB+BBJ), GIGASTROKE (UKB+BBJ)	yes	UKB, BBJ, HCHS/SOL, CKB, LOLIPOP, many	no	to_download
HbA1c	EUR	MAGIC	Chen 2021	10.1038/s41588-021-00852-9	123665			HbA1c continuous EUR	37	https://magicinvestigators.org/downloads/	MAGIC1000G_HbA1c_EUR.tsv.gz	yes	EUR stratified; UKB dominant	yes	UKB, FHS, ARIC, CHS, MESA-EUR	no	to_download
HbA1c	AFR	MAGIC	Chen 2021	10.1038/s41588-021-00852-9	7564			HbA1c continuous AFR	37	https://magicinvestigators.org/downloads/	MAGIC1000G_HbA1c_AA.tsv.gz	yes	AFR stratified; HCHS/SOL-AFR, ARIC-AFR, MESA-AFR, Jackson Heart; overlap with GLGC-AFR (HCHS/SOL), DIAMANTE-AFR (ARIC-AFR), PAGE BMI-AFR (HCHS/SOL)	yes	HCHS/SOL-AFR, ARIC-AFR, MESA-AFR, JHS	no	to_download
HbA1c	EAS	MAGIC	Chen 2021	10.1038/s41588-021-00852-9	20838			HbA1c continuous EAS	37	https://magicinvestigators.org/downloads/	MAGIC1000G_HbA1c_EAS.tsv.gz	yes	EAS stratified; BBJ partial, CKB, TWB; overlap with DIAMANTE-EAS (BBJ), GIGASTROKE-EAS (BBJ)	yes	BBJ, CKB, TWB	no	to_download
HbA1c	SAS	MAGIC	Chen 2021	10.1038/s41588-021-00852-9	8874			HbA1c continuous SAS	37	https://magicinvestigators.org/downloads/	MAGIC1000G_HbA1c_SAS.tsv.gz	yes	SAS stratified; LOLIPOP, PROMIS; overlap with DIAMANTE-SAS (LOLIPOP)	no	LOLIPOP, PROMIS	no	to_download
HbA1c	HIS	MAGIC	Chen 2021	10.1038/s41588-021-00852-9	20475			HbA1c continuous HIS	37	https://magicinvestigators.org/downloads/	MAGIC1000G_HbA1c_HISP.tsv.gz	yes	HIS stratified; HCHS/SOL, MESA-HIS; overlap with GLGC-HIS (HCHS/SOL), DIAMANTE-HIS (HCHS/SOL)	yes	HCHS/SOL, MESA-HIS	no	to_download
