region_id	chr	start	end	size_kb	min_p	n_gwsig_variants
chr1_166750000_168250000	1	166750000	168250000	1500.0	1.66e-15	78
chr1_170750000_178250000	1	170750000	178250000	7500.0	1.20e-122	575
chr1_178750000_181250000	1	178750000	181250000	2500.0	1.17e-10	122
chr1_182750000_185250000	1	182750000	185250000	2500.0	1.67e-10	26
chr1_188750000_192250000	1	188750000	192250000	3500.0	1.50e-21	131
chr1_193750000_196250000	1	193750000	196250000	2500.0	9.50e-13	116
chr1_196750000_199250000	1	196750000	199250000	2500.0	1.34e-15	37
chr1_200750000_206250000	1	200750000	206250000	5500.0	4.10e-38	449
chr1_206750000_208250000	1	206750000	208250000	1500.0	1.52e-11	25
chr1_208750000_211250000	1	208750000	211250000	2500.0	1.10e-11	116
chr1_213750000_215250000	1	213750000	215250000	1500.0	3.51e-17	33
chr1_216750000_220250000	1	216750000	220250000	3500.0	9.82e-21	76
chr1_220750000_222250000	1	220750000	222250000	1500.0	1.70e-12	128
chr1_224750000_226250000	1	224750000	226250000	1500.0	1.30e-09	8
chr1_226750000_231250000	1	226750000	231250000	4500.0	1.30e-40	823
chr1_235750000_237250000	1	235750000	237250000	1500.0	1.76e-08	6
chr1_241750000_245250000	1	241750000	245250000	3500.0	3.94e-41	304
chr1_248750000_250250000	1	248750000	250250000	1500.0	9.37e-12	4
chr2_0_1250000	2	0	1250000	1250.0	7.50e-157	513
chr2_5750000_7250000	2	5750000	7250000	1500.0	1.80e-18	95
chr2_7750000_10250000	2	7750000	10250000	2500.0	8.45e-16	57
chr2_14750000_17250000	2	14750000	17250000	2500.0	4.38e-09	4
chr2_18750000_21250000	2	18750000	21250000	2500.0	9.52e-16	72
chr2_21750000_23250000	2	21750000	23250000	1500.0	7.92e-09	14
chr2_23750000_30250000	2	23750000	30250000	6500.0	6.70e-90	895
chr2_34750000_38250000	2	34750000	38250000	3500.0	1.20e-15	483
chr2_39750000_49250000	2	39750000	49250000	9500.0	2.17e-32	1421
chr2_49750000_51250000	2	49750000	51250000	1500.0	1.00e-19	151
chr2_51750000_54250000	2	51750000	54250000	2500.0	4.54e-09	35
chr2_54750000_66250000	2	54750000	66250000	11500.0	2.20e-36	1329
chr2_66750000_68250000	2	66750000	68250000	1500.0	8.90e-17	32
chr2_68750000_70250000	2	68750000	70250000	1500.0	4.22e-12	41
chr2_70750000_74250000	2	70750000	74250000	3500.0	1.16e-12	444
chr2_78750000_80250000	2	78750000	80250000	1500.0	7.60e-12	9
chr2_80750000_82250000	2	80750000	82250000	1500.0	9.00e-11	77
chr2_84750000_87250000	2	84750000	87250000	2500.0	2.30e-19	163
chr2_94750000_99250000	2	94750000	99250000	4500.0	8.27e-29	460
chr2_99750000_103250000	2	99750000	103250000	3500.0	2.91e-78	998
chr2_103750000_106250000	2	103750000	106250000	2500.0	1.90e-18	285
chr2_109750000_115250000	2	109750000	115250000	5500.0	1.25e-22	173
chr2_119750000_122250000	2	119750000	122250000	2500.0	5.01e-10	23
chr2_126750000_128250000	2	126750000	128250000	1500.0	1.92e-10	318
chr2_132750000_134250000	2	132750000	134250000	1500.0	3.10e-08	1
chr2_134750000_136250000	2	134750000	136250000	1500.0	8.15e-12	174
chr2_136750000_138250000	2	136750000	138250000	1500.0	2.90e-09	2
chr2_141750000_150250000	2	141750000	150250000	8500.0	3.27e-31	902
chr2_150750000_152250000	2	150750000	152250000	1500.0	6.80e-09	2
chr2_154750000_160250000	2	154750000	160250000	5500.0	6.16e-15	131
chr2_160750000_163250000	2	160750000	163250000	2500.0	4.00e-11	30
chr2_163750000_167250000	2	163750000	167250000	3500.0	5.77e-50	666
chr2_168750000_170250000	2	168750000	170250000	1500.0	1.24e-09	18
chr2_170750000_176250000	2	170750000	176250000	5500.0	1.60e-15	231
chr2_176750000_178250000	2	176750000	178250000	1500.0	5.96e-09	2
chr2_178750000_180250000	2	178750000	180250000	1500.0	9.27e-28	82
chr2_180750000_184250000	2	180750000	184250000	3500.0	2.16e-39	607
chr2_185750000_189250000	2	185750000	189250000	3500.0	3.60e-09	18
chr2_190750000_193250000	2	190750000	193250000	2500.0	4.71e-19	586
chr2_195750000_197250000	2	195750000	197250000	1500.0	1.52e-09	83
chr2_197750000_199250000	2	197750000	199250000	1500.0	5.90e-14	153
chr2_199750000_201250000	2	199750000	201250000	1500.0	3.30e-08	1
chr2_202750000_209250000	2	202750000	209250000	6500.0	2.80e-23	575
chr2_210750000_215250000	2	210750000	215250000	4500.0	6.90e-24	176
chr2_217750000_221250000	2	217750000	221250000	3500.0	3.00e-20	454
chr2_225750000_231250000	2	225750000	231250000	5500.0	4.36e-22	463
chr2_233750000_235250000	2	233750000	235250000	1500.0	5.68e-14	14
chr2_235750000_237250000	2	235750000	237250000	1500.0	1.10e-10	57
chr2_238750000_240250000	2	238750000	240250000	1500.0	3.60e-09	16
chr2_240750000_242250000	2	240750000	242250000	1500.0	3.60e-50	144
chr3_7750000_17250000	3	7750000	17250000	9500.0	2.99e-26	834
chr3_17750000_19250000	3	17750000	19250000	1500.0	4.50e-08	3
chr3_19750000_21250000	3	19750000	21250000	1500.0	1.60e-11	61
chr3_22750000_26250000	3	22750000	26250000	3500.0	1.36e-29	769
chr3_26750000_31250000	3	26750000	31250000	4500.0	2.83e-26	527
chr3_31750000_34250000	3	31750000	34250000	2500.0	4.53e-20	34
chr3_34750000_36250000	3	34750000	36250000	1500.0	4.50e-11	62
chr3_36750000_39250000	3	36750000	39250000	2500.0	4.34e-10	141
chr3_40750000_54250000	3	40750000	54250000	13500.0	1.42e-44	2933
chr3_55750000_58250000	3	55750000	58250000	2500.0	2.94e-21	433
chr3_60750000_67250000	3	60750000	67250000	6500.0	1.30e-25	317
chr3_69750000_71250000	3	69750000	71250000	1500.0	2.60e-12	75
chr3_73750000_75250000	3	73750000	75250000	1500.0	2.83e-08	12
chr3_76750000_79250000	3	76750000	79250000	2500.0	1.90e-12	107
chr3_79750000_91250000	3	79750000	91250000	11500.0	2.30e-31	1520
chr3_92750000_95250000	3	92750000	95250000	2500.0	5.20e-32	187
chr3_100750000_102250000	3	100750000	102250000	1500.0	3.10e-11	300
chr3_103750000_105250000	3	103750000	105250000	1500.0	4.10e-16	16
chr3_106750000_109250000	3	106750000	109250000	2500.0	2.30e-14	195
chr3_110750000_120250000	3	110750000	120250000	9500.0	5.50e-11	328
chr3_120750000_126250000	3	120750000	126250000	5500.0	3.96e-22	248
chr3_126750000_129250000	3	126750000	129250000	2500.0	2.80e-08	56
chr3_130750000_132250000	3	130750000	132250000	1500.0	9.20e-32	252
chr3_132750000_139250000	3	132750000	139250000	6500.0	3.09e-26	622
chr3_140750000_142250000	3	140750000	142250000	1500.0	3.20e-26	140
chr3_149750000_151250000	3	149750000	151250000	1500.0	7.96e-11	20
chr3_151750000_155250000	3	151750000	155250000	3500.0	1.40e-18	779
chr3_155750000_159250000	3	155750000	159250000	3500.0	1.04e-15	760
chr3_160750000_162250000	3	160750000	162250000	1500.0	5.00e-09	30
chr3_167750000_172250000	3	167750000	172250000	4500.0	1.48e-57	518
chr3_172750000_174250000	3	172750000	174250000	1500.0	5.10e-17	19
chr3_175750000_178250000	3	175750000	178250000	2500.0	3.26e-09	2
chr3_178750000_190250000	3	178750000	190250000	11500.0	8.22e-80	702
chr3_192750000_198250000	3	192750000	198250000	5500.0	1.40e-12	168
chr4_0_4250000	4	0	4250000	4250.0	2.34e-22	529
chr4_5750000_7250000	4	5750000	7250000	1500.0	1.63e-30	189
chr4_15750000_19250000	4	15750000	19250000	3500.0	1.40e-15	292
chr4_19750000_22250000	4	19750000	22250000	2500.0	2.60e-11	47
chr4_24750000_27250000	4	24750000	27250000	2500.0	1.90e-19	96
chr4_27750000_29250000	4	27750000	29250000	1500.0	2.30e-13	12
chr4_29750000_32250000	4	29750000	32250000	2500.0	1.70e-13	61
chr4_35750000_37250000	4	35750000	37250000	1500.0	4.62e-09	13
chr4_37750000_41250000	4	37750000	41250000	3500.0	1.43e-21	337
chr4_43750000_46250000	4	43750000	46250000	2500.0	3.40e-86	142
chr4_47750000_50250000	4	47750000	50250000	2500.0	7.50e-10	20
chr4_51750000_57250000	4	51750000	57250000	5500.0	8.30e-14	535
chr4_59750000_61250000	4	59750000	61250000	1500.0	5.80e-09	6
chr4_62750000_64250000	4	62750000	64250000	1500.0	3.91e-09	2
chr4_64750000_66250000	4	64750000	66250000	1500.0	5.00e-13	113
chr4_66750000_69250000	4	66750000	69250000	2500.0	1.90e-08	8
chr4_70750000_72250000	4	70750000	72250000	1500.0	3.84e-12	270
chr4_72750000_75250000	4	72750000	75250000	2500.0	2.83e-09	62
chr4_76750000_78250000	4	76750000	78250000	1500.0	3.80e-11	64
chr4_79750000_82250000	4	79750000	82250000	2500.0	1.58e-148	220
chr4_82750000_84250000	4	82750000	84250000	1500.0	1.17e-08	1
chr4_84750000_87250000	4	84750000	87250000	2500.0	2.65e-15	170
chr4_88750000_90250000	4	88750000	90250000	1500.0	5.00e-13	45
chr4_90750000_92250000	4	90750000	92250000	1500.0	1.10e-10	17
chr4_93750000_97250000	4	93750000	97250000	3500.0	7.40e-11	109
chr4_100750000_107250000	4	100750000	107250000	6500.0	3.72e-88	1631
chr4_107750000_110250000	4	107750000	110250000	2500.0	3.07e-13	70
chr4_110750000_114250000	4	110750000	114250000	3500.0	6.19e-23	433
chr4_114750000_116250000	4	114750000	116250000	1500.0	8.70e-09	35
chr4_118750000_121250000	4	118750000	121250000	2500.0	1.83e-20	625
chr4_121750000_123250000	4	121750000	123250000	1500.0	3.37e-19	510
chr4_129750000_131250000	4	129750000	131250000	1500.0	1.50e-16	98
chr4_135750000_139250000	4	135750000	139250000	3500.0	4.90e-24	138
chr4_139750000_141250000	4	139750000	141250000	1500.0	2.20e-13	63
chr4_142750000_149250000	4	142750000	149250000	6500.0	1.39e-16	712
chr4_150750000_152250000	4	150750000	152250000	1500.0	4.23e-09	5
chr4_152750000_154250000	4	152750000	154250000	1500.0	4.38e-21	112
chr4_154750000_159250000	4	154750000	159250000	4500.0	2.29e-32	475
chr4_160750000_164250000	4	160750000	164250000	3500.0	1.90e-12	43
chr4_170750000_172250000	4	170750000	172250000	1500.0	2.90e-13	36
chr4_172750000_174250000	4	172750000	174250000	1500.0	9.10e-09	10
chr4_179750000_181250000	4	179750000	181250000	1500.0	6.30e-11	36
chr5_0_2250000	5	0	2250000	2250.0	1.42e-14	13
chr5_2750000_4250000	5	2750000	4250000	1500.0	4.24e-14	69
chr5_13750000_15250000	5	13750000	15250000	1500.0	5.00e-15	15
chr5_16750000_18250000	5	16750000	18250000	1500.0	4.60e-08	1
chr5_26750000_28250000	5	26750000	28250000	1500.0	1.00e-09	18
chr5_31750000_34250000	5	31750000	34250000	2500.0	1.41e-67	498
chr5_34750000_36250000	5	34750000	36250000	1500.0	1.35e-14	58
chr5_41750000_44250000	5	41750000	44250000	2500.0	9.10e-16	101
chr5_48750000_54250000	5	48750000	54250000	5500.0	3.47e-19	271
chr5_54750000_58250000	5	54750000	58250000	3500.0	9.43e-20	317
chr5_58750000_65250000	5	58750000	65250000	6500.0	4.50e-18	359
chr5_65750000_69250000	5	65750000	69250000	3500.0	9.42e-13	95
chr5_70750000_72250000	5	70750000	72250000	1500.0	8.10e-09	1
chr5_72750000_78250000	5	72750000	78250000	5500.0	1.60e-58	858
chr5_79750000_82250000	5	79750000	82250000	2500.0	3.90e-17	81
chr5_85750000_93250000	5	85750000	93250000	7500.0	7.60e-38	662
chr5_93750000_98250000	5	93750000	98250000	4500.0	1.50e-19	493
chr5_99750000_104250000	5	99750000	104250000	4500.0	5.22e-14	88
chr5_104750000_109250000	5	104750000	109250000	4500.0	7.10e-30	295
chr5_109750000_116250000	5	109750000	116250000	6500.0	2.45e-76	1005
chr5_118750000_120250000	5	118750000	120250000	1500.0	2.00e-12	58
chr5_120750000_125250000	5	120750000	125250000	4500.0	4.51e-35	776
chr5_126750000_129250000	5	126750000	129250000	2500.0	9.45e-30	511
chr5_129750000_134250000	5	129750000	134250000	4500.0	2.40e-41	1574
chr5_136750000_138250000	5	136750000	138250000	1500.0	2.20e-10	35
chr5_138750000_143250000	5	138750000	143250000	4500.0	1.85e-18	249
chr5_143750000_145250000	5	143750000	145250000	1500.0	2.90e-14	19
chr5_146750000_149250000	5	146750000	149250000	2500.0	6.01e-25	190
chr5_150750000_155250000	5	150750000	155250000	4500.0	2.20e-24	177
chr5_156750000_160250000	5	156750000	160250000	3500.0	3.36e-43	772
chr5_163750000_166250000	5	163750000	166250000	2500.0	1.70e-08	5
chr5_166750000_169250000	5	166750000	169250000	2500.0	1.20e-09	13
chr5_169750000_171250000	5	169750000	171250000	1500.0	4.50e-20	191
chr5_171750000_174250000	5	171750000	174250000	2500.0	3.82e-28	173
chr5_175750000_177250000	5	175750000	177250000	1500.0	6.92e-12	66
chr6_750000_2250000	6	750000	2250000	1500.0	2.47e-13	116
chr6_4750000_6250000	6	4750000	6250000	1500.0	1.00e-08	9
chr6_6750000_10250000	6	6750000	10250000	3500.0	1.04e-21	22
chr6_11750000_14250000	6	11750000	14250000	2500.0	4.60e-16	53
chr6_14750000_16250000	6	14750000	16250000	1500.0	3.03e-08	1
chr6_16750000_36250000	6	16750000	36250000	19500.0	6.15e-128	28742
chr6_37750000_45250000	6	37750000	45250000	7500.0	1.90e-30	370
chr6_45750000_47250000	6	45750000	47250000	1500.0	6.80e-14	87
chr6_48750000_54250000	6	48750000	54250000	5500.0	9.30e-84	834
chr6_54750000_57250000	6	54750000	57250000	2500.0	9.07e-12	285
chr6_62750000_65250000	6	62750000	65250000	2500.0	1.60e-10	76
chr6_69750000_71250000	6	69750000	71250000	1500.0	1.90e-09	143
chr6_71750000_74250000	6	71750000	74250000	2500.0	2.40e-11	38
chr6_75750000_77250000	6	75750000	77250000	1500.0	3.66e-08	3
chr6_78750000_81250000	6	78750000	81250000	2500.0	1.43e-23	437
chr6_81750000_84250000	6	81750000	84250000	2500.0	1.80e-19	66
chr6_84750000_86250000	6	84750000	86250000	1500.0	2.69e-09	51
chr6_86750000_88250000	6	86750000	88250000	1500.0	1.20e-09	3
chr6_89750000_91250000	6	89750000	91250000	1500.0	4.93e-36	208
chr6_92750000_94250000	6	92750000	94250000	1500.0	6.80e-10	1
chr6_95750000_99250000	6	95750000	99250000	3500.0	1.90e-18	432
chr6_99750000_102250000	6	99750000	102250000	2500.0	7.40e-12	140
chr6_103750000_105250000	6	103750000	105250000	1500.0	1.70e-14	39
chr6_105750000_107250000	6	105750000	107250000	1500.0	3.87e-11	30
chr6_107750000_110250000	6	107750000	110250000	2500.0	1.40e-22	66
chr6_115750000_123250000	6	115750000	123250000	7500.0	2.57e-19	1114
chr6_123750000_125250000	6	123750000	125250000	1500.0	1.20e-11	35
chr6_125750000_132250000	6	125750000	132250000	6500.0	1.79e-70	768
chr6_132750000_136250000	6	132750000	136250000	3500.0	1.96e-11	140
chr6_136750000_138250000	6	136750000	138250000	1500.0	3.62e-18	93
chr6_138750000_140250000	6	138750000	140250000	1500.0	1.01e-10	23
chr6_140750000_145250000	6	140750000	145250000	4500.0	1.69e-12	139
chr6_146750000_148250000	6	146750000	148250000	1500.0	7.85e-11	86
chr6_149750000_158250000	6	149750000	158250000	8500.0	7.83e-47	423
chr6_159750000_165250000	6	159750000	165250000	5500.0	5.90e-21	200
chr6_165750000_167250000	6	165750000	167250000	1500.0	1.49e-19	67
chr6_168750000_170250000	6	168750000	170250000	1500.0	3.87e-14	51
chr7_0_4250000	7	0	4250000	4250.0	5.55e-25	493
chr7_4750000_8250000	7	4750000	8250000	3500.0	2.49e-12	154
chr7_12750000_23250000	7	12750000	23250000	10500.0	8.55e-22	570
chr7_23750000_29250000	7	23750000	29250000	5500.0	6.32e-49	397
chr7_31750000_33250000	7	31750000	33250000	1500.0	2.60e-17	122
chr7_33750000_36250000	7	33750000	36250000	2500.0	3.05e-15	236
chr7_36750000_38250000	7	36750000	38250000	1500.0	2.60e-08	1
chr7_38750000_40250000	7	38750000	40250000	1500.0	3.30e-11	86
chr7_43750000_47250000	7	43750000	47250000	3500.0	4.30e-14	59
chr7_48750000_52250000	7	48750000	52250000	3500.0	1.40e-15	179
chr7_67750000_81250000	7	67750000	81250000	13500.0	2.10e-35	1011
chr7_85750000_87250000	7	85750000	87250000	1500.0	2.80e-09	13
chr7_88750000_91250000	7	88750000	91250000	2500.0	3.97e-13	196
chr7_91750000_94250000	7	91750000	94250000	2500.0	1.00e-14	133
chr7_95750000_97250000	7	95750000	97250000	1500.0	2.59e-16	158
chr7_97750000_101250000	7	97750000	101250000	3500.0	3.19e-19	311
chr7_101750000_104250000	7	101750000	104250000	2500.0	3.00e-22	118
chr7_105750000_108250000	7	105750000	108250000	2500.0	2.33e-11	59
chr7_108750000_110250000	7	108750000	110250000	1500.0	2.20e-09	16
chr7_111750000_115250000	7	111750000	115250000	3500.0	3.60e-20	320
chr7_120750000_124250000	7	120750000	124250000	3500.0	1.50e-12	66
chr7_124750000_128250000	7	124750000	128250000	3500.0	6.19e-105	109
chr7_128750000_132250000	7	128750000	132250000	3500.0	1.83e-23	298
chr7_133750000_135250000	7	133750000	135250000	1500.0	3.74e-12	101
chr7_136750000_141250000	7	136750000	141250000	4500.0	2.10e-12	125
chr7_146750000_148250000	7	146750000	148250000	1500.0	1.20e-09	20
chr7_148750000_152250000	7	148750000	152250000	3500.0	5.31e-77	560
chr7_154750000_158250000	7	154750000	158250000	3500.0	1.41e-15	205
chr8_750000_2250000	8	750000	2250000	1500.0	1.30e-08	10
chr8_3750000_5250000	8	3750000	5250000	1500.0	5.90e-12	2
chr8_5750000_7250000	8	5750000	7250000	1500.0	5.86e-14	59
chr8_7750000_12250000	8	7750000	12250000	4500.0	1.50e-26	4882
chr8_13750000_16250000	8	13750000	16250000	2500.0	2.20e-17	328
chr8_16750000_18250000	8	16750000	18250000	1500.0	4.65e-10	20
chr8_19750000_21250000	8	19750000	21250000	1500.0	2.10e-11	5
chr8_22750000_24250000	8	22750000	24250000	1500.0	2.11e-23	166
chr8_24750000_29250000	8	24750000	29250000	4500.0	5.06e-23	198
chr8_29750000_31250000	8	29750000	31250000	1500.0	1.00e-12	46
chr8_31750000_35250000	8	31750000	35250000	3500.0	2.80e-11	93
chr8_35750000_37250000	8	35750000	37250000	1500.0	1.57e-15	40
chr8_37750000_39250000	8	37750000	39250000	1500.0	8.48e-12	180
chr8_40750000_42250000	8	40750000	42250000	1500.0	4.70e-33	116
chr8_48750000_50250000	8	48750000	50250000	1500.0	2.29e-09	58
chr8_50750000_52250000	8	50750000	52250000	1500.0	1.28e-09	143
chr8_61750000_63250000	8	61750000	63250000	1500.0	3.10e-13	40
chr8_63750000_65250000	8	63750000	65250000	1500.0	5.84e-11	72
chr8_66750000_69250000	8	66750000	69250000	2500.0	1.70e-12	32
chr8_71750000_75250000	8	71750000	75250000	3500.0	6.00e-24	69
chr8_75750000_78250000	8	75750000	78250000	2500.0	4.30e-33	515
chr8_79750000_83250000	8	79750000	83250000	3500.0	1.26e-23	417
chr8_84750000_86250000	8	84750000	86250000	1500.0	5.90e-14	140
chr8_86750000_88250000	8	86750000	88250000	1500.0	2.50e-10	46
chr8_88750000_91250000	8	88750000	91250000	2500.0	9.30e-11	99
chr8_91750000_94250000	8	91750000	94250000	2500.0	6.80e-10	104
chr8_94750000_97250000	8	94750000	97250000	2500.0	4.40e-14	302
chr8_100750000_104250000	8	100750000	104250000	3500.0	1.33e-18	72
chr8_104750000_107250000	8	104750000	107250000	2500.0	8.43e-14	44
chr8_107750000_109250000	8	107750000	109250000	1500.0	5.64e-09	3
chr8_111750000_113250000	8	111750000	113250000	1500.0	2.90e-10	19
chr8_115750000_119250000	8	115750000	119250000	3500.0	1.97e-59	360
chr8_119750000_121250000	8	119750000	121250000	1500.0	9.03e-24	244
chr8_123750000_125250000	8	123750000	125250000	1500.0	1.33e-08	12
chr8_125750000_128250000	8	125750000	128250000	2500.0	1.13e-12	13
chr8_128750000_130250000	8	128750000	130250000	1500.0	1.76e-08	51
chr8_131750000_133250000	8	131750000	133250000	1500.0	1.30e-09	19
chr8_134750000_136250000	8	134750000	136250000	1500.0	3.41e-14	107
chr8_137750000_139250000	8	137750000	139250000	1500.0	2.20e-09	1
chr8_140750000_146250000	8	140750000	146250000	5500.0	2.75e-20	671
chr9_0_3250000	9	0	3250000	3250.0	5.58e-10	122
chr9_3750000_7250000	9	3750000	7250000	3500.0	4.40e-81	688
chr9_7750000_12250000	9	7750000	12250000	4500.0	2.90e-15	319
chr9_12750000_17250000	9	12750000	17250000	4500.0	2.30e-30	457
chr9_20750000_24250000	9	20750000	24250000	3500.0	7.72e-114	234
chr9_26750000_32250000	9	26750000	32250000	5500.0	6.00e-45	197
chr9_32750000_38250000	9	32750000	38250000	5500.0	9.37e-23	241
chr9_72750000_74250000	9	72750000	74250000	1500.0	4.90e-12	89
chr9_80750000_83250000	9	80750000	83250000	2500.0	7.60e-12	54
chr9_83750000_85250000	9	83750000	85250000	1500.0	9.56e-27	66
chr9_86750000_90250000	9	86750000	90250000	3500.0	6.00e-11	114
chr9_91750000_93250000	9	91750000	93250000	1500.0	9.90e-13	66
chr9_93750000_95250000	9	93750000	95250000	1500.0	4.90e-13	10
chr9_95750000_97250000	9	95750000	97250000	1500.0	2.80e-15	34
chr9_98750000_100250000	9	98750000	100250000	1500.0	2.01e-08	3
chr9_100750000_105250000	9	100750000	105250000	4500.0	3.70e-19	219
chr9_108750000_110250000	9	108750000	110250000	1500.0	3.10e-12	30
chr9_110750000_115250000	9	110750000	115250000	4500.0	4.17e-15	103
chr9_116750000_121250000	9	116750000	121250000	4500.0	5.40e-18	123
chr9_121750000_123250000	9	121750000	123250000	1500.0	3.70e-10	33
chr9_123750000_132250000	9	123750000	132250000	8500.0	2.74e-15	411
chr9_132750000_134250000	9	132750000	134250000	1500.0	1.90e-12	3
chr9_135750000_138250000	9	135750000	138250000	2500.0	2.27e-37	168
chr9_138750000_141250000	9	138750000	141250000	2500.0	3.80e-37	237
chr10_1750000_3250000	10	1750000	3250000	1500.0	7.00e-10	8
chr10_3750000_5250000	10	3750000	5250000	1500.0	1.03e-12	44
chr10_5750000_7250000	10	5750000	7250000	1500.0	5.16e-10	3
chr10_7750000_10250000	10	7750000	10250000	2500.0	3.26e-65	644
chr10_11750000_14250000	10	11750000	14250000	2500.0	2.36e-55	297
chr10_15750000_20250000	10	15750000	20250000	4500.0	3.27e-75	677
chr10_20750000_24250000	10	20750000	24250000	3500.0	4.00e-25	195
chr10_26750000_29250000	10	26750000	29250000	2500.0	9.29e-14	489
chr10_29750000_35250000	10	29750000	35250000	5500.0	7.30e-14	185
chr10_44750000_46250000	10	44750000	46250000	1500.0	2.26e-16	102
chr10_47750000_49250000	10	47750000	49250000	1500.0	8.77e-13	1
chr10_52750000_54250000	10	52750000	54250000	1500.0	8.70e-10	15
chr10_59750000_61250000	10	59750000	61250000	1500.0	1.00e-08	5
chr10_61750000_67250000	10	61750000	67250000	5500.0	4.77e-88	1434
chr10_69750000_72250000	10	69750000	72250000	2500.0	1.77e-17	38
chr10_74750000_79250000	10	74750000	79250000	4500.0	1.18e-13	350
chr10_79750000_83250000	10	79750000	83250000	3500.0	1.18e-26	57
chr10_83750000_85250000	10	83750000	85250000	1500.0	1.40e-08	9
chr10_86750000_90250000	10	86750000	90250000	3500.0	1.00e-18	132
chr10_90750000_101250000	10	90750000	101250000	10500.0	2.16e-65	1340
chr10_101750000_108250000	10	101750000	108250000	6500.0	1.60e-60	1207
chr10_110750000_112250000	10	110750000	112250000	1500.0	1.56e-09	1
chr10_113750000_117250000	10	113750000	117250000	3500.0	1.25e-234	611
chr10_117750000_119250000	10	117750000	119250000	1500.0	1.40e-15	92
chr10_120750000_123250000	10	120750000	123250000	2500.0	1.10e-23	207
chr10_123750000_127250000	10	123750000	127250000	3500.0	1.20e-17	148
chr10_130750000_132250000	10	130750000	132250000	1500.0	3.60e-08	3
chr10_132750000_135250000	10	132750000	135250000	2500.0	1.10e-11	34
chr11_0_5250000	11	0	5250000	5250.0	1.24e-196	657
chr11_7750000_12250000	11	7750000	12250000	4500.0	3.33e-36	1128
chr11_12750000_15250000	11	12750000	15250000	2500.0	5.60e-22	691
chr11_15750000_19250000	11	15750000	19250000	3500.0	2.53e-46	503
chr11_21750000_23250000	11	21750000	23250000	1500.0	2.68e-17	64
chr11_26750000_33250000	11	26750000	33250000	6500.0	1.00e-86	1033
chr11_34750000_36250000	11	34750000	36250000	1500.0	2.61e-09	3
chr11_42750000_44250000	11	42750000	44250000	1500.0	4.30e-33	163
chr11_44750000_52250000	11	44750000	52250000	7500.0	3.20e-58	3681
chr11_53750000_59250000	11	53750000	59250000	5500.0	1.28e-15	977
chr11_59750000_62250000	11	59750000	62250000	2500.0	1.38e-46	211
chr11_62750000_75250000	11	62750000	75250000	12500.0	1.63e-34	788
chr11_75750000_79250000	11	75750000	79250000	3500.0	1.57e-43	778
chr11_83750000_86250000	11	83750000	86250000	2500.0	1.80e-13	64
chr11_88750000_91250000	11	88750000	91250000	2500.0	2.10e-09	14
chr11_91750000_94250000	11	91750000	94250000	2500.0	4.83e-17	59
chr11_94750000_98250000	11	94750000	98250000	3500.0	6.93e-16	36
chr11_99750000_101250000	11	99750000	101250000	1500.0	2.32e-87	404
chr11_101750000_103250000	11	101750000	103250000	1500.0	1.07e-09	6
chr11_106750000_108250000	11	106750000	108250000	1500.0	1.00e-18	69
chr11_110750000_123250000	11	110750000	123250000	12500.0	3.80e-22	495
chr11_127750000_129250000	11	127750000	129250000	1500.0	5.40e-14	63
chr11_129750000_135250000	11	129750000	135250000	5500.0	1.16e-22	250
