pair_id	region	ancestry	trait_a	trait_b	imputed_h4	confidence	prob_signal	base_from_pair	region_bonus	ancestry_factor
chr12_0_3250000__EUR__stroke_vs_asthma	12:0-3250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr18_0_2250000__EUR__stroke_vs_asthma	18:0-2250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr2_0_1250000__EUR__stroke_vs_asthma	2:0-1250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr7_0_4250000__EUR__stroke_vs_asthma	7:0-4250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr9_26750000_32250000__EUR__stroke_vs_asthma	9:26750000-32250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr13_64750000_68250000__EUR__stroke_vs_asthma	13:64750000-68250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr18_59750000_61250000__EUR__stroke_vs_asthma	18:59750000-61250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr11_0_5250000__EUR__stroke_vs_asthma	11:0-5250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr6_16750000_36250000__EUR__stroke_vs_asthma	6:16750000-36250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr18_49750000_59250000__EUR__stroke_vs_asthma	18:49750000-59250000	EUR	stroke	asthma	0.1582	high	0.000	0.0082	0.1500	1.0000
chr2_39750000_49250000__EUR__bmi_vs_t2d	2:39750000-49250000	EUR	bmi	t2d	0.1392	moderate	0.131	0.1392	0.0000	1.0000
chr15_45750000_50250000__EUR__bmi_vs_t2d	15:45750000-50250000	EUR	bmi	t2d	0.1392	moderate	0.131	0.1392	0.0000	1.0000
chr9_0_3250000__EUR__bmi_vs_t2d	9:0-3250000	EUR	bmi	t2d	0.1392	moderate	0.131	0.1392	0.0000	1.0000
chr15_34750000_37250000__EUR__bmi_vs_t2d	15:34750000-37250000	EUR	bmi	t2d	0.1392	moderate	0.131	0.1392	0.0000	1.0000
chr15_70750000_84250000__EUR__bmi_vs_asthma	15:70750000-84250000	EUR	bmi	asthma	0.1208	moderate	0.000	0.0408	0.0800	1.0000
chr21_38750000_47250000__EUR__hypertension_vs_asthma	21:38750000-47250000	EUR	hypertension	asthma	0.1169	high	0.008	0.0369	0.0800	1.0000
chr15_70750000_84250000__EUR__hypertension_vs_asthma	15:70750000-84250000	EUR	hypertension	asthma	0.1169	high	0.008	0.0369	0.0800	1.0000
chr19_2750000_15250000__EUR__hypertension_vs_asthma	19:2750000-15250000	EUR	hypertension	asthma	0.1169	high	0.008	0.0369	0.0800	1.0000
chr8_71750000_75250000__EUR__hypertension_vs_asthma	8:71750000-75250000	EUR	hypertension	asthma	0.1169	high	0.008	0.0369	0.0800	1.0000
chr18_75750000_77250000__EUR__hypertension_vs_asthma	18:75750000-77250000	EUR	hypertension	asthma	0.1169	high	0.008	0.0369	0.0800	1.0000
chr9_116750000_121250000__EUR__hypertension_vs_asthma	9:116750000-121250000	EUR	hypertension	asthma	0.1169	high	0.008	0.0369	0.0800	1.0000
chr11_26750000_33250000__EUR__hypertension_vs_asthma	11:26750000-33250000	EUR	hypertension	asthma	0.1169	high	0.008	0.0369	0.0800	1.0000
chr2_23750000_30250000__EUR__hypertension_vs_asthma	2:23750000-30250000	EUR	hypertension	asthma	0.1169	high	0.008	0.0369	0.0800	1.0000
chr19_48750000_50250000__EUR__t2d_vs_asthma	19:48750000-50250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr19_2750000_15250000__EUR__t2d_vs_asthma	19:2750000-15250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr8_7750000_12250000__EUR__t2d_vs_asthma	8:7750000-12250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr18_75750000_77250000__EUR__t2d_vs_asthma	18:75750000-77250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr12_46750000_59250000__EUR__t2d_vs_asthma	12:46750000-59250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr15_70750000_84250000__EUR__t2d_vs_asthma	15:70750000-84250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr21_38750000_47250000__EUR__t2d_vs_asthma	21:38750000-47250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr11_26750000_33250000__EUR__t2d_vs_asthma	11:26750000-33250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr8_71750000_75250000__EUR__t2d_vs_asthma	8:71750000-75250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr2_23750000_30250000__EUR__t2d_vs_asthma	2:23750000-30250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr15_65750000_70250000__EUR__t2d_vs_asthma	15:65750000-70250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr1_9750000_13250000__EUR__t2d_vs_asthma	1:9750000-13250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr14_49750000_51250000__EUR__t2d_vs_asthma	14:49750000-51250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr9_116750000_121250000__EUR__t2d_vs_asthma	9:116750000-121250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr17_72750000_74250000__EUR__t2d_vs_asthma	17:72750000-74250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr1_61750000_63250000__EUR__t2d_vs_asthma	1:61750000-63250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr11_91750000_94250000__EUR__t2d_vs_asthma	11:91750000-94250000	EUR	t2d	asthma	0.0989	high	0.002	0.0189	0.0800	1.0000
chr11_26750000_33250000__EUR__stroke_vs_asthma	11:26750000-33250000	EUR	stroke	asthma	0.0882	high	0.000	0.0082	0.0800	1.0000
chr21_38750000_47250000__EUR__stroke_vs_asthma	21:38750000-47250000	EUR	stroke	asthma	0.0882	high	0.000	0.0082	0.0800	1.0000
chr2_23750000_30250000__EUR__stroke_vs_asthma	2:23750000-30250000	EUR	stroke	asthma	0.0882	high	0.000	0.0082	0.0800	1.0000
chr18_75750000_77250000__EUR__stroke_vs_asthma	18:75750000-77250000	EUR	stroke	asthma	0.0882	high	0.000	0.0082	0.0800	1.0000
chr19_2750000_15250000__EUR__stroke_vs_asthma	19:2750000-15250000	EUR	stroke	asthma	0.0882	high	0.000	0.0082	0.0800	1.0000
chr9_116750000_121250000__EUR__stroke_vs_asthma	9:116750000-121250000	EUR	stroke	asthma	0.0882	high	0.000	0.0082	0.0800	1.0000
chr8_71750000_75250000__EUR__stroke_vs_asthma	8:71750000-75250000	EUR	stroke	asthma	0.0882	high	0.000	0.0082	0.0800	1.0000
chr15_70750000_84250000__EUR__stroke_vs_asthma	15:70750000-84250000	EUR	stroke	asthma	0.0882	high	0.000	0.0082	0.0800	1.0000
chr7_128750000_132250000__AFR__t2d_vs_asthma	7:128750000-132250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr1_5750000_9250000__AFR__t2d_vs_asthma	1:5750000-9250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr5_31750000_34250000__AFR__t2d_vs_asthma	5:31750000-34250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr12_107750000_117250000__AFR__t2d_vs_asthma	12:107750000-117250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr1_55750000_58250000__AFR__t2d_vs_asthma	1:55750000-58250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr13_64750000_68250000__AFR__t2d_vs_asthma	13:64750000-68250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr9_26750000_32250000__AFR__t2d_vs_asthma	9:26750000-32250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr6_62750000_65250000__AFR__t2d_vs_asthma	6:62750000-65250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr6_16750000_36250000__AFR__t2d_vs_asthma	6:16750000-36250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr3_167750000_172250000__AFR__t2d_vs_asthma	3:167750000-172250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr15_89750000_97250000__AFR__t2d_vs_asthma	15:89750000-97250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr12_13750000_21250000__AFR__t2d_vs_asthma	12:13750000-21250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr14_78750000_81250000__AFR__t2d_vs_asthma	14:78750000-81250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr8_137750000_139250000__AFR__t2d_vs_asthma	8:137750000-139250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr13_109750000_113250000__AFR__t2d_vs_asthma	13:109750000-113250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr13_71750000_74250000__AFR__t2d_vs_asthma	13:71750000-74250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr5_72750000_78250000__AFR__t2d_vs_asthma	5:72750000-78250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr1_208750000_211250000__AFR__t2d_vs_asthma	1:208750000-211250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr14_22750000_26250000__AFR__t2d_vs_asthma	14:22750000-26250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr18_49750000_59250000__AFR__t2d_vs_asthma	18:49750000-59250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr12_93750000_95250000__AFR__t2d_vs_asthma	12:93750000-95250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr1_106750000_111250000__AFR__t2d_vs_asthma	1:106750000-111250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr4_100750000_107250000__AFR__t2d_vs_asthma	4:100750000-107250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr1_170750000_178250000__AFR__t2d_vs_asthma	1:170750000-178250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr10_113750000_117250000__AFR__t2d_vs_asthma	10:113750000-117250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr18_18750000_25250000__AFR__t2d_vs_asthma	18:18750000-25250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr1_76750000_81250000__AFR__t2d_vs_asthma	1:76750000-81250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr1_144750000_147250000__AFR__t2d_vs_asthma	1:144750000-147250000	AFR	t2d	asthma	0.0691	high	0.003	0.0189	0.1500	0.4091
chr13_52750000_55250000__AFR__stroke_vs_asthma	13:52750000-55250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr1_5750000_9250000__AFR__stroke_vs_asthma	1:5750000-9250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr5_72750000_78250000__AFR__stroke_vs_asthma	5:72750000-78250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr1_55750000_58250000__AFR__stroke_vs_asthma	1:55750000-58250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr3_149750000_151250000__AFR__stroke_vs_asthma	3:149750000-151250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr11_42750000_44250000__AFR__stroke_vs_asthma	11:42750000-44250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr1_76750000_81250000__AFR__stroke_vs_asthma	1:76750000-81250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr5_171750000_174250000__AFR__stroke_vs_asthma	5:171750000-174250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr13_109750000_113250000__AFR__stroke_vs_asthma	13:109750000-113250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr12_0_3250000__AFR__stroke_vs_asthma	12:0-3250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr4_100750000_107250000__AFR__stroke_vs_asthma	4:100750000-107250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr17_20750000_22250000__AFR__stroke_vs_asthma	17:20750000-22250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr9_26750000_32250000__AFR__stroke_vs_asthma	9:26750000-32250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr18_59750000_61250000__AFR__stroke_vs_asthma	18:59750000-61250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr12_13750000_21250000__AFR__stroke_vs_asthma	12:13750000-21250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr1_170750000_178250000__AFR__stroke_vs_asthma	1:170750000-178250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr1_106750000_111250000__AFR__stroke_vs_asthma	1:106750000-111250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr5_129750000_134250000__AFR__stroke_vs_asthma	5:129750000-134250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr18_0_2250000__AFR__stroke_vs_asthma	18:0-2250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr1_208750000_211250000__AFR__stroke_vs_asthma	1:208750000-211250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr2_134750000_136250000__AFR__stroke_vs_asthma	2:134750000-136250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr5_99750000_104250000__AFR__stroke_vs_asthma	5:99750000-104250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr4_43750000_46250000__AFR__stroke_vs_asthma	4:43750000-46250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr15_89750000_97250000__AFR__stroke_vs_asthma	15:89750000-97250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr5_93750000_98250000__AFR__stroke_vs_asthma	5:93750000-98250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr18_49750000_59250000__AFR__stroke_vs_asthma	18:49750000-59250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr13_71750000_74250000__AFR__stroke_vs_asthma	13:71750000-74250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr11_0_5250000__AFR__stroke_vs_asthma	11:0-5250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr6_16750000_36250000__AFR__stroke_vs_asthma	6:16750000-36250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr3_69750000_71250000__AFR__stroke_vs_asthma	3:69750000-71250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr14_22750000_26250000__AFR__stroke_vs_asthma	14:22750000-26250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr13_64750000_68250000__AFR__stroke_vs_asthma	13:64750000-68250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr3_167750000_172250000__AFR__stroke_vs_asthma	3:167750000-172250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr3_120750000_126250000__AFR__stroke_vs_asthma	3:120750000-126250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr12_107750000_117250000__AFR__stroke_vs_asthma	12:107750000-117250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr1_111750000_114250000__AFR__stroke_vs_asthma	1:111750000-114250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr9_135750000_138250000__AFR__stroke_vs_asthma	9:135750000-138250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr14_96750000_105250000__AFR__stroke_vs_asthma	14:96750000-105250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr11_7750000_12250000__AFR__stroke_vs_asthma	11:7750000-12250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr5_120750000_125250000__AFR__stroke_vs_asthma	5:120750000-125250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr7_0_4250000__AFR__stroke_vs_asthma	7:0-4250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr5_31750000_34250000__AFR__stroke_vs_asthma	5:31750000-34250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr16_48750000_55250000__AFR__stroke_vs_asthma	16:48750000-55250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr10_113750000_117250000__AFR__stroke_vs_asthma	10:113750000-117250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr2_225750000_231250000__AFR__stroke_vs_asthma	2:225750000-231250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr7_23750000_29250000__AFR__stroke_vs_asthma	7:23750000-29250000	AFR	stroke	asthma	0.0647	high	0.000	0.0082	0.1500	0.4091
chr15_34750000_37250000__EUR__bmi_vs_hypertension	15:34750000-37250000	EUR	bmi	hypertension	0.0564	moderate	0.044	0.0564	0.0000	1.0000
chr2_39750000_49250000__EUR__bmi_vs_hypertension	2:39750000-49250000	EUR	bmi	hypertension	0.0564	moderate	0.044	0.0564	0.0000	1.0000
chr9_0_3250000__EUR__bmi_vs_hypertension	9:0-3250000	EUR	bmi	hypertension	0.0564	moderate	0.044	0.0564	0.0000	1.0000
chr15_45750000_50250000__EUR__bmi_vs_hypertension	15:45750000-50250000	EUR	bmi	hypertension	0.0564	moderate	0.044	0.0564	0.0000	1.0000
chr2_39750000_49250000__EUR__bmi_vs_asthma	2:39750000-49250000	EUR	bmi	asthma	0.0408	moderate	0.000	0.0408	0.0000	1.0000
chr13_29750000_34250000__EUR__bmi_vs_asthma	13:29750000-34250000	EUR	bmi	asthma	0.0408	moderate	0.000	0.0408	0.0000	1.0000
chr8_13750000_16250000__EUR__bmi_vs_asthma	8:13750000-16250000	EUR	bmi	asthma	0.0408	moderate	0.000	0.0408	0.0000	1.0000
chr10_29750000_35250000__EUR__bmi_vs_asthma	10:29750000-35250000	EUR	bmi	asthma	0.0408	moderate	0.000	0.0408	0.0000	1.0000
chr9_0_3250000__EUR__bmi_vs_asthma	9:0-3250000	EUR	bmi	asthma	0.0408	moderate	0.000	0.0408	0.0000	1.0000
chr8_3750000_5250000__EUR__bmi_vs_asthma	8:3750000-5250000	EUR	bmi	asthma	0.0408	moderate	0.000	0.0408	0.0000	1.0000
chr11_110750000_123250000__EUR__bmi_vs_asthma	11:110750000-123250000	EUR	bmi	asthma	0.0408	moderate	0.000	0.0408	0.0000	1.0000
chr6_159750000_165250000__EUR__bmi_vs_asthma	6:159750000-165250000	EUR	bmi	asthma	0.0408	moderate	0.000	0.0408	0.0000	1.0000
