region_id,chr,start,end,parent_region
HLAII_6p21__tile1,6,32000000,32250000,HLAII_6p21
HLAII_6p21__tile2,6,32250000,32500000,HLAII_6p21
HLAII_6p21__tile3,6,32500000,32750000,HLAII_6p21
HLAII_6p21__tile4,6,32750000,33000000,HLAII_6p21
CXADR_F2RL1_6p21__tile1,6,10300000,10600000,CXADR_F2RL1_6p21
CXADR_F2RL1_6p21__tile2,6,10600000,10900000,CXADR_F2RL1_6p21
CXADR_F2RL1_6p21__tile3,6,10900000,11200000,CXADR_F2RL1_6p21
CXADR_F2RL1_6p21__tile4,6,11200000,11500000,CXADR_F2RL1_6p21
CXADR_F2RL1_6p21__tile5,6,11500000,11800000,CXADR_F2RL1_6p21
APOL1_22q12__tile1,22,36449117,36659117,APOL1_22q12
APOL1_22q12__tile2,22,36659117,36863576,APOL1_22q12
APOL1_MYH9_block_22q12q13__tile1,22,35800000,36200000,APOL1_MYH9_block_22q12q13
APOL1_MYH9_block_22q12q13__tile2,22,36200000,36600000,APOL1_MYH9_block_22q12q13
APOL1_MYH9_block_22q12q13__tile3,22,36600000,36800000,APOL1_MYH9_block_22q12q13
HBB_11p15.4__tile1,11,5046000,5452000,HBB_11p15.4
ANGPTL3_1p31.1__tile1,1,62820000,63320000,ANGPTL3_1p31.1
ATP2B1_12q21.33__tile1,12,89731858,89819446,ATP2B1_12q21.33
ATP2B1_12q21.33__tile2,12,89819494,89911501,ATP2B1_12q21.33
ATP2B1_12q21.33__tile3,12,89911501,90020519,ATP2B1_12q21.33
ATP2B1_12q21.33__tile4,12,90020559,90133588,ATP2B1_12q21.33
ATP2B1_12q21.33__tile5,12,90133656,90242808,ATP2B1_12q21.33
ATP2B1_12q21.33__tile6,12,90242930,90352941,ATP2B1_12q21.33
BDNF_11p14__tile1,11,27376501,27477274,BDNF_11p14
BDNF_11p14__tile2,11,27477274,27607060,BDNF_11p14
BDNF_11p14__tile3,11,27607174,27715884,BDNF_11p14
BDNF_11p14__tile4,11,27716011,27818977,BDNF_11p14
BDNF_11p14__tile5,11,27818977,27923985,BDNF_11p14
BDNF_11p14__tile6,11,27923985,28043563,BDNF_11p14
CDKAL1_6p22.3__tile1,6,20830828,20907778,CDKAL1_6p22.3
CDKAL1_6p22.3__tile2,6,20907881,20986074,CDKAL1_6p22.3
CDKAL1_6p22.3__tile3,6,20986087,21064528,CDKAL1_6p22.3
FTO_16q12__tile1,16,53990523,54245869,FTO_16q12
FTO_16q12__tile2,16,54246018,54492267,FTO_16q12
GCK_7p15__tile1,7,44304381,44398873,GCK_7p15
GCK_7p15__tile2,7,44398873,44501450,GCK_7p15
GCK_7p15__tile3,7,44501460,44599720,GCK_7p15
HHEX_10q23__tile1,10,93900084,94018571,HHEX_10q23
HHEX_10q23__tile2,10,94018617,94140247,HHEX_10q23
HHEX_10q23__tile3,10,94140265,94235822,HHEX_10q23
HHEX_10q23__tile4,10,94236026,94336704,HHEX_10q23
HHEX_10q23__tile5,10,94336704,94419296,HHEX_10q23
HHEX_10q23__tile6,10,94419506,94514998,HHEX_10q23
HHEX_10q23__tile7,10,94515006,94611010,HHEX_10q23
HHEX_10q23__tile8,10,94611017,94699683,HHEX_10q23
HNF1A_12q24.31__tile1,12,121439584,121505093,HNF1A_12q24.31
HNF1A_12q24.31__tile2,12,121505174,121564398,HNF1A_12q24.31
HNF1A_12q24.31__tile3,12,121564398,121619521,HNF1A_12q24.31
HNF1A_12q24.31__tile4,12,121619521,121679951,HNF1A_12q24.31
IRS1_2q36__tile1,2,227030066,227111965,IRS1_2q36
IRS1_2q36__tile2,2,227111965,227195751,IRS1_2q36
IRS1_2q36__tile3,2,227195760,227265046,IRS1_2q36
IRS1_2q36__tile4,2,227265047,227348324,IRS1_2q36
IRS1_2q36__tile5,2,227348324,227424038,IRS1_2q36
IRS1_2q36__tile6,2,227424070,227506203,IRS1_2q36
IRS1_2q36__tile7,2,227506218,227587055,IRS1_2q36
IRS1_2q36__tile8,2,227587118,227669939,IRS1_2q36
KCNQ1_11p15.5__tile1,11,2937819,3012051,KCNQ1_11p15.5
KCNQ1_11p15.5__tile2,11,3012052,3091369,KCNQ1_11p15.5
KCNQ1_11p15.5__tile3,11,3091523,3156725,KCNQ1_11p15.5
KCNQ1_11p15.5__tile4,11,3156725,3220321,KCNQ1_11p15.5
ORMDL3_GSDMB_17q12q21__tile1,17,34656136,34846658,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile2,17,34846678,34967050,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile3,17,34967143,35062713,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile4,17,35062800,35141326,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile5,17,35141462,35203045,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile6,17,35203052,35268559,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile7,17,35268559,35361144,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile8,17,35361144,35457169,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile9,17,35457246,35565677,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile10,17,35565832,35677516,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile11,17,35677520,35778477,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile12,17,35778477,35869449,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile13,17,35869490,35969224,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile14,17,35969337,36057580,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile15,17,36057612,36134156,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile16,17,36134296,36238687,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile17,17,36238687,36520917,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile18,17,36521005,36612876,ORMDL3_GSDMB_17q12q21
ORMDL3_GSDMB_17q12q21__tile19,17,36612876,36699906,ORMDL3_GSDMB_17q12q21
PPARG_3p25__tile1,3,123000127,123085095,PPARG_3p25
PPARG_3p25__tile2,3,123085098,123167552,PPARG_3p25
PPARG_3p25__tile3,3,123167579,123259360,PPARG_3p25
PPARG_3p25__tile4,3,123259416,123345351,PPARG_3p25
PPARG_3p25__tile5,3,123345389,123434307,PPARG_3p25
PPARG_3p25__tile6,3,123434308,123533708,PPARG_3p25
PPARG_3p25__tile7,3,123533764,123623150,PPARG_3p25
PPARG_3p25__tile8,3,123623225,123709678,PPARG_3p25
PPARG_3p25__tile9,3,123709732,123807060,PPARG_3p25
PPARG_3p25__tile10,3,123807084,123899991,PPARG_3p25
PYHIN1_1q23__tile1,1,161658490,161732306,PYHIN1_1q23
PYHIN1_1q23__tile2,1,161732306,161829051,PYHIN1_1q23
PYHIN1_1q23__tile3,1,161829111,161926574,PYHIN1_1q23
PYHIN1_1q23__tile4,1,161926589,161999930,PYHIN1_1q23
RAD50_IL13_5q31.1__tile1,5,131100140,131206883,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile2,5,131206889,131312639,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile3,5,131312645,131406515,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile4,5,131406531,131505257,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile5,5,131505279,131599776,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile6,5,131599777,131693660,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile7,5,131693693,131789305,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile8,5,131789387,131881767,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile9,5,131881780,131975529,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile10,5,131975529,132065474,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile11,5,132065533,132160057,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile12,5,132160057,132251570,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile13,5,132251652,132339556,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile14,5,132339650,132421948,RAD50_IL13_5q31.1
RAD50_IL13_5q31.1__tile15,5,132421959,132499988,RAD50_IL13_5q31.1
RAD50_peak__tile1,5,131306203,131806203,RAD50_peak
SLC30A8_8q24.11__tile1,8,117762526,117843230,SLC30A8_8q24.11
SLC30A8_8q24.11__tile2,8,117843310,117913712,SLC30A8_8q24.11
SLC30A8_8q24.11__tile3,8,117913757,117987519,SLC30A8_8q24.11
SLC30A8_8q24.11__tile4,8,117987520,118075587,SLC30A8_8q24.11
SLC30A8_8q24.11__tile5,8,118075618,118159442,SLC30A8_8q24.11
SLC30A8_8q24.11__tile6,8,118159443,118237006,SLC30A8_8q24.11
SLC30A8_8q24.11__tile7,8,118237055,118313410,SLC30A8_8q24.11
SLC30A8_8q24.11__tile8,8,118313428,118388842,SLC30A8_8q24.11
TCF7L2_10q25__tile1,10,114360126,114454187,TCF7L2_10q25
TCF7L2_10q25__tile2,10,114454225,114545199,TCF7L2_10q25
TCF7L2_10q25__tile3,10,114545212,114633569,TCF7L2_10q25
TCF7L2_10q25__tile4,10,114633587,114730719,TCF7L2_10q25
TCF7L2_10q25__tile5,10,114730770,114818481,TCF7L2_10q25
TCF7L2_10q25__tile6,10,114818481,114917553,TCF7L2_10q25
TCF7L2_10q25__tile7,10,114917557,115022727,TCF7L2_10q25
TCF7L2_10q25__tile8,10,115022792,115109553,TCF7L2_10q25
TCF7L2_10q25__tile9,10,115109553,115192482,TCF7L2_10q25
TCF7L2_10q25__tile10,10,115192482,115277378,TCF7L2_10q25
